Date,Time,Time Interval,Number of Swipes,Dining Hall,Month of the Year,Dining Menu Quality,Exam/Reading Period or Weekend,Number of Students on Campus,Campus Events with Takeout Food,Number of Students on Declining Balance
9/3/24,17:00,1,137,1,9,3,0,1711,0,1600
9/3/24,17:00,1,127,0,9,3,0,1711,0,1600
9/3/24,17:15,2,169,1,9,3,0,1711,0,1600
9/3/24,17:15,2,117,0,9,3,0,1711,0,1600
9/3/24,17:30,3,158,1,9,3,0,1711,0,1600
9/3/24,17:30,3,124,0,9,3,0,1711,0,1600
9/3/24,17:45,4,164,1,9,3,0,1711,0,1600
9/3/24,17:45,4,126,0,9,3,0,1711,0,1600
9/3/24,18:00,5,322,1,9,3,0,1711,0,1600
9/3/24,18:00,5,221,0,9,3,0,1711,0,1600
9/3/24,18:15,6,283,1,9,3,0,1711,0,1600
9/3/24,18:15,6,236,0,9,3,0,1711,0,1600
9/3/24,18:30,7,240,1,9,3,0,1711,0,1600
9/3/24,18:30,7,250,0,9,3,0,1711,0,1600
9/3/24,18:45,8,144,1,9,3,0,1711,0,1600
9/3/24,18:45,8,138,0,9,3,0,1711,0,1600
9/3/24,19:00,9,183,1,9,3,0,1711,0,1600
9/3/24,19:00,9,114,0,9,3,0,1711,0,1600
9/3/24,19:15,10,146,1,9,3,0,1711,0,1600
9/3/24,19:15,10,107,0,9,3,0,1711,0,1600
9/3/24,19:30,11,167,1,9,3,0,1711,0,1600
9/3/24,19:30,11,103,0,9,3,0,1711,0,1600
9/3/24,19:45,12,194,1,9,3,0,1711,0,1600
9/3/24,19:45,12,151,0,9,3,0,1711,0,1600
9/4/24,17:00,1,114,1,9,1,0,1711,0,1600
9/4/24,17:00,1,92,0,9,1,0,1711,0,1600
9/4/24,17:15,2,125,1,9,1,0,1711,0,1600
9/4/24,17:15,2,103,0,9,1,0,1711,0,1600
9/4/24,17:30,3,121,1,9,1,0,1711,0,1600
9/4/24,17:30,3,113,0,9,1,0,1711,0,1600
9/4/24,17:45,4,144,1,9,1,0,1711,0,1600
9/4/24,17:45,4,89,0,9,1,0,1711,0,1600
9/4/24,18:00,5,253,1,9,1,0,1711,0,1600
9/4/24,18:00,5,181,0,9,1,0,1711,0,1600
9/4/24,18:15,6,197,1,9,1,0,1711,0,1600
9/4/24,18:15,6,193,0,9,1,0,1711,0,1600
9/4/24,18:30,7,200,1,9,1,0,1711,0,1600
9/4/24,18:30,7,224,0,9,1,0,1711,0,1600
9/4/24,18:45,8,115,1,9,1,0,1711,0,1600
9/4/24,18:45,8,111,0,9,1,0,1711,0,1600
9/4/24,19:00,9,118,1,9,1,0,1711,0,1600
9/4/24,19:00,9,111,0,9,1,0,1711,0,1600
9/4/24,19:15,10,136,1,9,1,0,1711,0,1600
9/4/24,19:15,10,106,0,9,1,0,1711,0,1600
9/4/24,19:30,11,151,1,9,1,0,1711,0,1600
9/4/24,19:30,11,105,0,9,1,0,1711,0,1600
9/4/24,19:45,12,121,1,9,1,0,1711,0,1600
9/4/24,19:45,12,105,0,9,1,0,1711,0,1600
9/5/24,17:00,1,176,1,9,2,0,1711,0,1600
9/5/24,17:00,1,102,0,9,2,0,1711,0,1600
9/5/24,17:15,2,122,1,9,2,0,1711,0,1600
9/5/24,17:15,2,96,0,9,2,0,1711,0,1600
9/5/24,17:30,3,150,1,9,2,0,1711,0,1600
9/5/24,17:30,3,117,0,9,2,0,1711,0,1600
9/5/24,17:45,4,115,1,9,2,0,1711,0,1600
9/5/24,17:45,4,130,0,9,2,0,1711,0,1600
9/5/24,18:00,5,248,1,9,2,0,1711,0,1600
9/5/24,18:00,5,205,0,9,2,0,1711,0,1600
9/5/24,18:15,6,254,1,9,2,0,1711,0,1600
9/5/24,18:15,6,224,0,9,2,0,1711,0,1600
9/5/24,18:30,7,265,1,9,2,0,1711,0,1600
9/5/24,18:30,7,220,0,9,2,0,1711,0,1600
9/5/24,18:45,8,144,1,9,2,0,1711,0,1600
9/5/24,18:45,8,121,0,9,2,0,1711,0,1600
9/5/24,19:00,9,151,1,9,2,0,1711,0,1600
9/5/24,19:00,9,112,0,9,2,0,1711,0,1600
9/5/24,19:15,10,126,1,9,2,0,1711,0,1600
9/5/24,19:15,10,136,0,9,2,0,1711,0,1600
9/5/24,19:30,11,161,1,9,2,0,1711,0,1600
9/5/24,19:30,11,84,0,9,2,0,1711,0,1600
9/5/24,19:45,12,131,1,9,2,0,1711,0,1600
9/5/24,19:45,12,109,0,9,2,0,1711,0,1600
9/6/24,17:00,1,194,1,9,3,0,1711,0,1600
9/6/24,17:00,1,139,0,9,3,0,1711,0,1600
9/6/24,17:15,2,115,1,9,3,0,1711,0,1600
9/6/24,17:15,2,127,0,9,3,0,1711,0,1600
9/6/24,17:30,3,166,1,9,3,0,1711,0,1600
9/6/24,17:30,3,140,0,9,3,0,1711,0,1600
9/6/24,17:45,4,181,1,9,3,0,1711,0,1600
9/6/24,17:45,4,148,0,9,3,0,1711,0,1600
9/6/24,18:00,5,301,1,9,3,0,1711,0,1600
9/6/24,18:00,5,239,0,9,3,0,1711,0,1600
9/6/24,18:15,6,278,1,9,3,0,1711,0,1600
9/6/24,18:15,6,250,0,9,3,0,1711,0,1600
9/6/24,18:30,7,274,1,9,3,0,1711,0,1600
9/6/24,18:30,7,250,0,9,3,0,1711,0,1600
9/6/24,18:45,8,161,1,9,3,0,1711,0,1600
9/6/24,18:45,8,134,0,9,3,0,1711,0,1600
9/6/24,19:00,9,158,1,9,3,0,1711,0,1600
9/6/24,19:00,9,136,0,9,3,0,1711,0,1600
9/6/24,19:15,10,119,1,9,3,0,1711,0,1600
9/6/24,19:15,10,91,0,9,3,0,1711,0,1600
9/6/24,19:30,11,190,1,9,3,0,1711,0,1600
9/6/24,19:30,11,107,0,9,3,0,1711,0,1600
9/6/24,19:45,12,148,1,9,3,0,1711,0,1600
9/6/24,19:45,12,125,0,9,3,0,1711,0,1600
9/9/24,17:00,1,143,1,9,2,0,1711,0,1600
9/9/24,17:00,1,107,0,9,2,0,1711,0,1600
9/9/24,17:15,2,145,1,9,2,0,1711,0,1600
9/9/24,17:15,2,114,0,9,2,0,1711,0,1600
9/9/24,17:30,3,149,1,9,2,0,1711,0,1600
9/9/24,17:30,3,108,0,9,2,0,1711,0,1600
9/9/24,17:45,4,141,1,9,2,0,1711,0,1600
9/9/24,17:45,4,135,0,9,2,0,1711,0,1600
9/9/24,18:00,5,243,1,9,2,0,1711,0,1600
9/9/24,18:00,5,250,0,9,2,0,1711,0,1600
9/9/24,18:15,6,305,1,9,2,0,1711,0,1600
9/9/24,18:15,6,250,0,9,2,0,1711,0,1600
9/9/24,18:30,7,250,1,9,2,0,1711,0,1600
9/9/24,18:30,7,220,0,9,2,0,1711,0,1600
9/9/24,18:45,8,138,1,9,2,0,1711,0,1600
9/9/24,18:45,8,123,0,9,2,0,1711,0,1600
9/9/24,19:00,9,151,1,9,2,0,1711,0,1600
9/9/24,19:00,9,102,0,9,2,0,1711,0,1600
9/9/24,19:15,10,146,1,9,2,0,1711,0,1600
9/9/24,19:15,10,108,0,9,2,0,1711,0,1600
9/9/24,19:30,11,124,1,9,2,0,1711,0,1600
9/9/24,19:30,11,105,0,9,2,0,1711,0,1600
9/9/24,19:45,12,139,1,9,2,0,1711,0,1600
9/9/24,19:45,12,116,0,9,2,0,1711,0,1600
9/10/24,17:00,1,134,1,9,3,0,1711,0,1600
9/10/24,17:00,1,107,0,9,3,0,1711,0,1600
9/10/24,17:15,2,140,1,9,3,0,1711,0,1600
9/10/24,17:15,2,129,0,9,3,0,1711,0,1600
9/10/24,17:30,3,167,1,9,3,0,1711,0,1600
9/10/24,17:30,3,108,0,9,3,0,1711,0,1600
9/10/24,17:45,4,170,1,9,3,0,1711,0,1600
9/10/24,17:45,4,114,0,9,3,0,1711,0,1600
9/10/24,18:00,5,270,1,9,3,0,1711,0,1600
9/10/24,18:00,5,220,0,9,3,0,1711,0,1600
9/10/24,18:15,6,278,1,9,3,0,1711,0,1600
9/10/24,18:15,6,246,0,9,3,0,1711,0,1600
9/10/24,18:30,7,324,1,9,3,0,1711,0,1600
9/10/24,18:30,7,237,0,9,3,0,1711,0,1600
9/10/24,18:45,8,154,1,9,3,0,1711,0,1600
9/10/24,18:45,8,143,0,9,3,0,1711,0,1600
9/10/24,19:00,9,140,1,9,3,0,1711,0,1600
9/10/24,19:00,9,152,0,9,3,0,1711,0,1600
9/10/24,19:15,10,166,1,9,3,0,1711,0,1600
9/10/24,19:15,10,101,0,9,3,0,1711,0,1600
9/10/24,19:30,11,149,1,9,3,0,1711,0,1600
9/10/24,19:30,11,126,0,9,3,0,1711,0,1600
9/10/24,19:45,12,149,1,9,3,0,1711,0,1600
9/10/24,19:45,12,126,0,9,3,0,1711,0,1600
9/11/24,17:00,1,159,1,9,3,0,1711,0,1600
9/11/24,17:00,1,123,0,9,3,0,1711,0,1600
9/11/24,17:15,2,156,1,9,3,0,1711,0,1600
9/11/24,17:15,2,117,0,9,3,0,1711,0,1600
9/11/24,17:30,3,213,1,9,3,0,1711,0,1600
9/11/24,17:30,3,112,0,9,3,0,1711,0,1600
9/11/24,17:45,4,145,1,9,3,0,1711,0,1600
9/11/24,17:45,4,126,0,9,3,0,1711,0,1600
